wind_speed,E33_power,E44_power,E48_power,E53_power,E70_power,E82_power,E33_efficiency,E44_efficiency,E48_efficiency,E53_efficiency,E70_efficiency,E82_efficiency,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,0,1.4,2,2,2,3,0,0.187904301,0.225559727,0.185708888,0.103092563,0.115933137,,,,,,
3,5,8,12,14,18,25,0.345078048,0.318144849,0.40099507,0.385173991,0.274913501,0.28625466,,,,,,
4,13.7,24.5,32,38,56,82,0.398888656,0.411040659,0.451119453,0.44105861,0.360823971,0.396104886,,,,,,
5,30,53,66,77,127,174,0.44722115,0.455265278,0.476382143,0.457586701,0.418968176,0.430343806,,,,,,
6,55,96,120,141,240,321,0.474482315,0.477217273,0.501243837,0.484906542,0.458189169,0.459438729,,,,,,
7,92,156,191,228,400,532,0.499809837,0.488347705,0.502412919,0.493779901,0.480898253,0.479505765,,,,,,
8,138,238,284,336,626,815,0.502250315,0.4991208,0.500460643,0.487485832,0.504187066,0.492112015,,,,,,
9,196,340,405,480,892,1180,0.501002202,0.500783558,0.501243837,0.489109829,0.504573751,0.500415554,,,,,,
10,250,466,555,645,1223,1612,0.465855364,0.500362311,0.500742593,0.479128932,0.504328818,0.498357913,,,,,,
11,292.8,600,671,744,1590,1890,0.40992472,0.48402954,0.454847713,0.415228889,0.492613599,0.438995501,,,,,,
12,320,710,750,780,1900,2000,0.345078048,0.441177427,0.391596748,0.335307715,0.453416365,0.357818325,,,,,,
13,335,790,790,810,2080,2050,0.284135725,0.38609636,0.324428191,0.273872006,0.390409706,0.288469648,,,,,,
14,335,850,810,810,2230,2050,0.227494966,0.332608613,0.266331456,0.219277259,0.33512597,0.230964948,,,,,,
15,335,880,810,810,2300,2050,0.184961833,0.279967467,0.216537338,0.178280533,0.28102269,0.187783057,,,,,,
16,335,905,810,810,2310,2050,0.152403855,0.237239666,0.178421268,0.146898632,0.232562325,0.154728471,,,,,,
17,335,910,810,810,2310,2050,0.127060083,0.198881003,0.14875097,0.122470344,0.19388872,0.128998131,,,,,,
18,335,910,810,810,2310,2050,0.107038098,0.167541558,0.125310959,0.103171605,0.163335954,0.108670751,,,,,,
19,335,910,810,810,2310,2050,0.091011254,0.142455513,0.106548114,0.087723691,0.138879615,0.092399448,,,,,,
20,335,910,810,810,2310,2050,0.078030774,0.122137796,0.091351689,0.0752121,0.11907191,0.079220977,,,,,,
21,335,910,810,810,2310,2050,0.067405916,0.10550722,0.078913024,0.06497104,0.102858793,0.068434059,,,,,,
22,335,910,810,810,2310,2050,0.058625675,0.091763934,0.068633876,0.056507964,0.089460489,0.059519893,,,,,,
23,335,910,810,810,2310,2050,0.0513065,0.080307583,0.060065219,0.049453176,0.078291714,0.052089078,,,,,,
24,335,910,810,810,2310,2050,0.045156698,0.070681595,0.052865561,0.043525521,0.068907355,0.045845473,,,,,,
25,335,910,810,810,2310,2050,0.039951756,0.062534551,0.046772065,0.038508595,0.060964818,0.04056114,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
