,day,load,wind_speed,lower_wind_speed,upper_wind_speed,E33_power_lower,E44_power_lower,E48_power_lower,E53_power_lower,E70_power_lower,E82_power_lower,E33_power_upper,E44_power_upper,E48_power_upper,E53_power_upper,E70_power_upper,E82_power_upper,E33_power_output,E44_power_output,E48_power_output,E53_power_output,E70_power_output,E82_power_output,E33_efficiency,E44_efficiency,E48_efficiency,E53_efficiency,E70_efficiency,E82_efficiency
0,1,1400,5.045766667,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,31.14416667499999,54.967966680999986,68.47140001799998,79.92906668799998,132.17163337099996,180.72770004899994,0.4517584832677603,0.4594379385321007,0.48089390025055545,0.46218509210709474,0.4242717300032691,0.43493018773142517
1,2,1400,5.172125,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,34.30312500000001,60.401375000000016,75.29475000000002,88.01600000000002,146.45012500000004,199.30237500000004,0.46199549505598436,0.468746956231474,0.4909974192097682,0.47254946087199134,0.43648571777452616,0.4453298000923346
2,3,1500,7.943441667,7,8,92.0,156.0,191.0,228.0,400.0,532.0,138.0,238.0,284.0,336.0,626.0,815.0,135.398316682,233.362216694,278.740075031,329.891700036,613.217816742,798.993991761,0.5033826296563674,0.499922958984639,0.501758607689667,0.48892015257274624,0.5045171814748228,0.4928261028791856
3,4,1550,6.660583333,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,79.441583321,135.63499998,166.901416643,198.470749971,345.69333328,460.383083263,0.5009820718118578,0.49287143117845117,0.5096180185352341,0.49894467669888415,0.48243802792509133,0.4816802938050842
4,5,1600,8.063375,8,9,138.0,238.0,284.0,336.0,626.0,815.0,196.0,340.0,405.0,480.0,892.0,1180.0,141.67575000000005,244.46425000000005,291.6683750000001,345.1260000000001,642.8577500000001,838.1318750000003,0.5035655818361624,0.50068370447587,0.5019498391575865,0.48901230351535385,0.5056518943804238,0.4942402435813786
5,6,1650,5.022208333,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,30.555208325000002,53.954958319,67.199249982,78.421333312,129.509541629,177.264624951,0.44948185874503443,0.4573470278407635,0.4786320802726959,0.4598781021995555,0.4216041930905486,0.4326276017233558
6,7,1600,3.6237,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,10.426189999999998,18.29105,24.473999999999997,28.968799999999998,41.700599999999994,60.5509,0.4083006008004261,0.41274384117392515,0.4640553656614422,0.4522374035046621,0.3613873312930459,0.39340530820582964
7,8,1700,3.3816916669999997,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,8.320717502899997,14.297912505499994,19.633833339999995,23.160600007999992,32.50428334599999,46.75642501899998,0.40093119410905653,0.39698060178041294,0.45806238399026616,0.4448775247767989,0.34659787946995385,0.3737796014104442
8,9,1750,2.587133333,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,2.9356666650000007,5.275079997800001,7.8713333300000015,9.045599996000002,11.394133328000002,15.916933326000002,0.3159085635715863,0.32709302879908925,0.41012233403352577,0.3880374357168574,0.2713389815962598,0.2841706910275061
9,10,1800,2.5400166669999997,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,2.7000833349999986,4.964110002199998,7.400166669999997,8.480200003999997,10.640266671999996,14.880366673999994,0.30702840837259504,0.3252597847072729,0.40743032743849883,0.38440504390562996,0.26775040823472723,0.28072445975152244
10,11,1900,3.07115,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,5.619004999999999,9.173974999999997,13.422999999999996,15.707599999999996,20.703699999999994,29.05554999999999,0.36146597625595,0.34005811183534207,0.4180883394595563,0.4028092443715093,0.29473533704917376,0.31010040662058275
11,12,2000,2.443641667,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,2.2182083350000004,4.3280350022,6.436416670000001,7.323700004000001,9.098266672000001,12.760116674000002,0.28327018065796306,0.3184761186368144,0.39797256715008467,0.37282983830379174,0.25711855861843913,0.27034503686784783
12,13,2100,4.358291667,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,19.540154172099992,34.71131250949999,44.181916677999986,51.97337501299998,81.43870835699997,114.96283336399996,0.43983542517027885,0.4502159071881603,0.4815232155662252,0.4663636885612035,0.4056666750896391,0.42932374299599346
13,14,2200,2.758466667,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,3.792333335,6.4058800022,9.58466667,11.101600004,14.135466672,19.686266674,0.3366777176775028,0.3276983468968793,0.41199822369230144,0.39289367365039013,0.2777117518480144,0.28995891340062974
14,15,2350,2.8355666669999997,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,4.177833334999999,6.9147400021999985,10.355666669999998,12.026800003999996,15.369066671999995,21.382466673999993,0.3414621853494475,0.3256528927744699,0.409807617094772,0.3918530065221773,0.27798107843135683,0.2899442745930001
15,16,2200,3.3924,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,8.413879999999999,14.474599999999999,19.848,23.417599999999997,32.911199999999994,47.36679999999999,0.40159309979266367,0.39809257736124426,0.4586877465676385,0.44556790607742347,0.34762410382969416,0.375084573585338
16,17,2000,2.2359,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,1.1795,2.95694,4.359,4.8308,5.7744,8.1898,0.19663096443436404,0.2840429778216393,0.35184492569286063,0.32103664733549064,0.21302818393525683,0.22651266468659803
17,18,1800,3.368841667,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,8.208922502899998,14.085887505499997,19.376833339999997,22.852200007999997,32.015983346,46.02397501899999,0.4000879283336996,0.3955861595338725,0.45725930815435406,0.44399583703808354,0.3453125588302968,0.3721505338040179
18,19,1900,6.5792,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,76.4304,130.752,161.1232,191.3904,332.672,443.2112,0.5001012712559096,0.4929782369550247,0.5104584102014359,0.499221827417937,0.481708501821057,0.4811359203824572
19,20,2000,5.300625,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,37.515625,65.92687500000001,82.23375000000001,96.24000000000001,160.970625,218.19187500000004,0.4693988663421098,0.4753132502110261,0.4981847216807403,0.48002853465572703,0.4457103476174763,0.4529326763427291
20,21,2100,4.146266667,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,16.084146672099997,28.668600009499997,36.973066677999995,43.704400013,66.384933357,95.456533364,0.4204723342808842,0.4318505400695642,0.46798866465095734,0.45545571209120816,0.3840476932443149,0.41400948242867297
21,22,1900,4.249066667,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,17.759786672100002,31.598400009500004,40.468266678000006,47.713600013000004,73.68373335700001,104.91413336400001,0.43138814033015627,0.4422655685614839,0.47594363006714385,0.4620130381279473,0.3960758063453674,0.42279484450121074
22,23,1800,2.730625,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,3.6531249999999993,6.222124999999998,9.306249999999999,10.767499999999998,13.689999999999998,19.073749999999997,0.33434084724064367,0.32813398901620844,0.4123918556418659,0.3928451319206149,0.27727109027101493,0.28961844718399316
23,24,2200,5.973108333,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,54.327708324999996,94.84365831899999,118.547849982,139.278933312,236.96124162899997,317.046924951,0.47504122832565016,0.47786562986014314,0.5018963740870562,0.48548625523977773,0.4585254759955907,0.45993736368986615
24,25,2750,10.96319167,10,11,250.0,466.0,555.0,645.0,1223.0,1612.0,292.8,600.0,671.0,744.0,1590.0,1890.0,291.224603476,595.06768378,666.7302337200001,740.3559753300001,1576.4913428900002,1879.76728426,0.4118396287096009,0.4849020470098617,0.45652091510768844,0.4173709775272421,0.4933645009321004,0.44103127389116975
25,26,2800,6.675575,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,79.99627500000001,136.5345,167.96582500000002,199.77502500000003,348.09200000000004,463.546325,0.5010889409761855,0.49280492358428096,0.509420525582534,0.49884754188086583,0.4825200139808421,0.4817297020619727
26,27,2300,4.439675,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,20.866702500000002,37.03073750000001,46.94895000000001,55.14732500000001,87.21692500000002,122.45010000000002,0.44433587417657555,0.4543677473171152,0.48405409280654826,0.46812689663144813,0.41099312839905666,0.4325954296517814
27,28,2100,2.079558333,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,0.3977916650000002,1.9250849978,2.7955833300000004,2.9546999960000004,3.2729333280000006,4.750283326000001,0.08242395498677259,0.22984510594553498,0.2804662912255452,0.2440578335103411,0.15007597215903767,0.16329861936206808
28,29,1900,3.383833333,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,8.339349997100001,14.333249994500001,19.676666660000002,23.211999992000003,32.58566665400001,46.878499981000004,0.4010665116465489,0.397206599652462,0.45819061205832046,0.44501879218001206,0.34680635417853295,0.3740443808966527
29,30,1700,4.795191667,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,26.6616241721,47.162962509500005,59.036516678000005,69.012475013,112.458608357,155.157633364,0.45058816605468704,0.45928455087557823,0.48308590152125763,0.4649458458263725,0.4205930775178716,0.435042368611495
30,31,1500,6.215116667,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,62.95931667900001,108.90700002000001,135.27328335700003,159.71515002900003,274.41866672000003,366.38961673700004,0.4886785106056423,0.48708708153624913,0.5083768033581231,0.49418657025017015,0.47136043058658306,0.471814867694023
31,32,1700,6.69485,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,80.70944999999999,137.69099999999997,169.33434999999997,201.45194999999998,351.17599999999993,467.61334999999997,0.5012021517892165,0.49269899203323514,0.509148024428792,0.4987025676093713,0.48260253968103345,0.48177101673993167
32,33,1800,5.086458333,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,32.16145832500001,56.71770831900002,70.66874998200002,82.53333331200002,136.76979162900005,186.70937495100006,0.4554076812098812,0.46277604888904067,0.4845097116553493,0.4658816376252025,0.42857915059646345,0.43862761686008317
33,34,2000,3.163241667,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,6.420202502899999,10.693487505499998,15.264833339999997,17.917800007999997,24.203183345999996,34.30477501899999,0.37797467357158276,0.3627612761562487,0.4351274684227019,0.42051379597040234,0.31532811958035906,0.3350686364722074
34,35,2000,2.6728,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,3.3640000000000003,5.8404799999999994,8.728000000000002,10.0736,12.764800000000001,17.8016,0.3282975874157617,0.3284337853772464,0.41241732454101643,0.39190246546771645,0.27567790194079234,0.2882278692561408
35,36,1950,4.508208333,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,21.983795827899996,38.9839374905,49.27908332199999,57.82012498699999,92.08279164299998,128.75516663599998,0.4470970883889642,0.45684875146287546,0.4852574806931002,0.4687699623814026,0.4144325643283231,0.4344392485442561
36,37,2000,3.977075,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,13.500552500000001,24.121737500000002,31.541500000000003,37.4498,55.12885000000001,80.693275,0.3999183122647903,0.4117332274468427,0.45238953581439,0.4422326884950507,0.36138899073255054,0.39657224856978396
37,38,2000,2.644958333,2,3,0.0,1.4,2.0,2.0,2.0,3.0,5.0,8.0,12.0,14.0,18.0,25.0,3.2247916649999997,5.6567249978,8.44958333,9.739499996,12.319333327999999,17.189083326,0.32475530199030583,0.32825188909374253,0.4120029633311942,0.3909964720646344,0.2745478391472006,0.2871921290654722
38,39,2050,4.097008333,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,15.281235827899996,27.264737490499993,35.29828332199999,41.78332498699999,62.887591642999986,90.92476663599999,0.4140654825051685,0.4256958843152546,0.46309980025466174,0.45133097105141295,0.3770958470396854,0.40875019616046704
39,40,2100,6.285791667000001,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,65.57429167900003,113.14750002000004,140.29120835700004,165.86387502900007,285.72666672000014,381.30204173700014,0.4919996019738796,0.48917436133648484,0.509650034657347,0.49609464632902633,0.4744147183749261,0.4746412760727808
40,41,2150,5.728958333,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,48.22395832499999,84.34520831899998,105.36374998199997,123.65333331199997,209.37229162899996,281.15687495099996,0.4779109226665628,0.48165059040804103,0.5055752195468363,0.48850781831961315,0.4591763841779119,0.46227247754391254
41,42,2100,3.028316667,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,5.246355002899999,8.467225005499998,12.566333339999998,14.679600007999998,19.076033345999996,26.614050018999993,0.3520180283021025,0.3273677646846462,0.40825006850615914,0.3926476867326844,0.2832510579999909,0.2962671019015236
42,43,2200,5.244941667,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,36.123541675,63.532491680999996,79.226850018,92.676266688,154.678408371,210.006425049,0.4665298410302568,0.4727946718010373,0.49541819500542367,0.4771327474149433,0.44207406333360605,0.4499734767852591
43,44,2300,5.489091667,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,42.227291675000004,74.03094168100002,92.41095001800002,108.30186668800002,182.26735837100003,245.89647504900006,0.47577637115023586,0.4806295802195863,0.5041311525987369,0.4864376404882418,0.4544590716716521,0.4596499037103901
44,45,2350,3.825016667,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,12.177645002899999,21.612775005499998,28.500333339999997,33.800400008,49.350633345999995,72.02595001899999,0.4054846384851294,0.41467629478590995,0.45948516554349694,0.4486570803525896,0.3636470452491911,0.39789210370700606
45,46,2400,4.8316,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,27.25508,48.200599999999994,60.2744,70.4324,115.0436,158.50719999999998,0.45028308751405005,0.4588578852037379,0.48214928710356453,0.463865690125156,0.42060736567313545,0.4344626004884844
46,47,2450,6.262233332999999,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,64.70263332099998,111.73399997999996,138.61856664299995,163.81429997099994,281.9573332799999,376.33123326299983,0.4909590971583757,0.488535673998599,0.5092783544443167,0.4955149422635128,0.47345966440100745,0.4737604994349568
47,48,2500,3.760766667,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,11.6186700029,20.5526500055,27.21533334,32.258400007999995,46.909133346,68.36370001899999,0.40704117397345563,0.4148941703000553,0.4616427741828662,0.4505119733083662,0.3636767780686049,0.3973495394394914
48,49,1800,3.769333333,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,11.693199997099999,20.6939999945,27.386666660000003,32.463999992,47.234666654,68.851999981,0.40686547096065884,0.41490577723862027,0.461388846125232,0.45029909686779457,0.3637094186833923,0.3974653240434696
49,50,3000,4.503925,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,21.913977499999994,38.861862499999994,49.13344999999999,57.65307499999999,91.77867499999998,128.36109999999996,0.44694990928677664,0.4567187417683628,0.48520510432435715,0.46875046063692377,0.4142434611458201,0.4343464747928623
50,51,2800,4.87015,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,27.883444999999995,49.299274999999994,61.58509999999999,71.93584999999999,117.78064999999998,162.05379999999997,0.4498114527381604,0.4582602548219161,0.4810278140115786,0.46260577309425666,0.42046927108495236,0.4337190793028524
51,52,2000,3.570158333,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,9.960377497100001,17.407612494500004,23.403166660000004,27.683799992000004,39.666016654,57.49902498100001,0.4078725322606714,0.41074799468562084,0.46401684301791146,0.4519141639256835,0.35945413742103105,0.3906378940490601
52,53,2100,5.339175,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,38.479375000000005,67.584525,84.31545,98.7072,165.326775,223.858725,0.4711038289395979,0.4767859741668437,0.4998115014570296,0.48174703094456717,0.4479278389562945,0.45470306259472876
53,54,2500,3.334575,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,7.910802500000001,13.520487500000002,18.6915,22.0298,30.71385,44.070775000000005,0.39756684975030865,0.3915340656200429,0.45482490383779767,0.44134861325926217,0.3415860431346261,0.36745616577379825
54,55,2400,3.5508833330000003,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,9.792684997100002,17.089574994500005,23.017666660000003,27.221199992000006,38.93356665400001,56.40034998100002,0.40757136726036597,0.4098460223503073,0.4638458088638614,0.4516382723670028,0.3585934136114511,0.38944749020846076
55,56,2600,4.531766667,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,22.367796672100006,39.65535000950001,50.08006667800001,58.73890001300001,93.75543335700002,130.92253336400003,0.4478490694801638,0.4575070997957423,0.48549395552533237,0.4688305125985923,0.415414021940768,0.4348986896643259
56,57,2500,3.974933333,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,13.4819199971,24.086399994500002,31.49866666,37.398399992,55.047466654000004,80.571199981,0.4000122489497766,0.41179495293500346,0.4525058247731667,0.442339941740178,0.36143908806077724,0.3966126895498168
57,58,2800,5.38415,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,39.60375,69.51845,86.7441,101.5856,170.40895,230.47005000000001,0.47282012168214665,0.4782415454582668,0.5014296889740302,0.4834742848411225,0.450223621213157,0.45649851065344604
58,59,3000,6.1583625,6,7,55.0,96.0,120.0,141.0,240.0,321.0,92.0,156.0,191.0,228.0,400.0,532.0,60.8594125,105.50175,131.2437375,154.7775375,265.33799999999997,354.4144875,0.4855602204773762,0.48502328474241824,0.5069958363222731,0.49227169675783417,0.46847997493129173,0.46912873978817776
59,60,3300,4.30475,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,18.667425000000005,33.18537500000001,42.36150000000001,49.88525000000001,77.63725000000002,110.03700000000003,0.43606547475118457,0.4466852358580882,0.47912526955588514,0.4645377696322103,0.40134112880701867,0.426453082742768
60,61,2800,3.690091667,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,11.0037975029,19.3865125055,25.801833339999998,30.562200007999998,44.223483345999995,64.33522501899999,0.4080770935534144,0.4142732562398906,0.46329824196729313,0.4518203948412859,0.36293496625185373,0.3958345339078743
61,62,2600,3.01975,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,5.171825000000001,8.325875000000003,12.395000000000003,14.474000000000004,18.750500000000006,26.12575000000001,0.34997896567984077,0.3246501360107525,0.40612068696337095,0.39045256483348145,0.28079360422988947,0.2933135442565413
62,63,1800,4.403266667,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,20.273246672099994,35.99310000949999,45.71106667799999,53.72740001299998,84.63193335699997,119.10053336399996,0.44249608609142455,0.4526817257105986,0.4830787609352231,0.4674805466585229,0.4087865775667812,0.4312857056216099
63,64,2100,3.2103583330000003,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,6.8301174971000025,11.470912494500006,16.207166660000006,19.048599992000007,25.99361665400001,36.99042498100002,0.38466151392477255,0.3722512023200168,0.4419448919360364,0.42765663388304626,0.323961579475901,0.34562497043523727
64,65,2000,3.4866333330000003,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,9.233709997100004,16.029449994500006,21.732666660000007,25.679199992000008,36.49206665400001,52.73809998100002,0.4059462081740943,0.40606771369292194,0.46261076669238976,0.4500443748375473,0.355031554677418,0.38466437490829924
65,66,2500,3.570158333,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,9.960377497100001,17.407612494500004,23.403166660000004,27.683799992000004,39.666016654,57.49902498100001,0.4078725322606714,0.41074799468562084,0.46401684301791146,0.4519141639256835,0.35945413742103105,0.3906378940490601
66,67,2700,5.007216667,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,30.180416674999996,53.31031668099999,66.38970001799998,77.46186668799999,127.81548337099997,175.06085004899998,0.44796818475302697,0.4559537402085933,0.4771260236571079,0.4583439335505232,0.41983790141550625,0.43109819191783616
67,68,2600,5.604741667000001,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,45.11854167500002,79.00389168100003,98.65605001800004,115.70346668800005,195.3358083710001,262.8970250490001,0.47752855458240806,0.4818150457201916,0.5055667157716711,0.488171311003825,0.45751189767450673,0.46163124153682933
68,69,2800,5.617591667,5,6,30.0,53.0,66.0,77.0,127.0,174.0,55.0,96.0,120.0,141.0,240.0,321.0,45.439791675,79.55644168100001,99.34995001800002,116.52586668800001,196.78785837100003,264.785975049,0.47763585399823477,0.4818629323062962,0.505636830198663,0.4882750347611973,0.4577571365770865,0.4617647694771747
69,70,3000,8.183308333,8,9,138.0,238.0,284.0,336.0,626.0,815.0,196.0,340.0,405.0,480.0,892.0,1180.0,148.63188331399996,256.6974499659999,306.18030829299994,362.3963999519999,674.7600165779999,881.9075415449997,0.5054012688103622,0.5029600403351553,0.5040946195106296,0.4912355758770717,0.5077499899994223,0.4975223926759178
70,71,3400,7.937016667000001,7,8,92.0,156.0,191.0,228.0,400.0,532.0,138.0,238.0,284.0,336.0,626.0,815.0,135.10276668200004,232.83536669400007,278.1425500310001,329.1978000360001,611.7657667420002,797.1757167610002,0.5035046176935998,0.5000066083395398,0.5018998963230769,0.48907755106562656,0.5045458313842915,0.4928996444796411
71,72,3500,3.287458333,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,7.5008874971,12.7430624945,17.74916666,20.898999992,28.923416654,41.385124981000004,0.3934078056106601,0.3851161350374747,0.4507323682817828,0.43695570721445653,0.3357037177140934,0.3601138467426813
72,73,3900,3.73935,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,11.432344999999998,20.199275,26.787,31.7444,46.095299999999995,67.14295,0.40743474702536236,0.4148070266422303,0.46222909490512387,0.4509947169288205,0.3635428637853209,0.39699806447771807
73,74,4000,3.672958333,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,10.8547374971,19.103812494499998,25.45916666,30.150999992,43.572416653999994,63.358624981,0.408208846566365,0.4139717588730922,0.46357256952813003,0.45200828712080765,0.3626193467031799,0.3953065946977876
74,75,4250,4.219083333,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,17.271058327900008,30.74387499050001,39.44883332200001,46.544249987000015,71.55491664300003,102.15566663600003,0.4285245747575485,0.43954461924794175,0.47391603606361793,0.46036723615083464,0.39289137775672406,0.4205178863080749
75,76,4100,4.63885,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,24.113254999999995,42.707224999999994,53.720899999999986,62.91514999999999,101.35834999999997,140.77419999999998,0.45012791010795217,0.45937677759487094,0.48554986983256554,0.4681843896046618,0.4187124472499893,0.4359818401680618
76,77,4300,8.05695,8,9,138.0,238.0,284.0,336.0,626.0,815.0,196.0,340.0,405.0,480.0,892.0,1180.0,141.30310000000003,243.80890000000005,290.8909500000001,344.2008000000001,641.1487000000002,835.7867500000002,0.5034435443430515,0.5005370413452406,0.5018105126916074,0.488869059238161,0.5055150487442852,0.494037365556963
77,78,4200,7.294516667000001,7,8,92.0,156.0,191.0,228.0,400.0,532.0,138.0,238.0,284.0,336.0,626.0,815.0,105.54776668200003,180.15036669400007,218.39005003100007,259.80780003600006,466.56076674200017,615.3482167610002,0.5067229537056657,0.4983612429200664,0.5076505205464653,0.49722768797636313,0.49568523344773885,0.49012595826720357
78,79,6000,7.397316667,7,8,92.0,156.0,191.0,228.0,400.0,532.0,138.0,238.0,284.0,336.0,626.0,815.0,110.27656668200001,188.579966694,227.950450031,270.910200036,489.79356674200005,644.440616761,0.5076585404573551,0.5002321445313863,0.5080885092680649,0.4971591157168868,0.49897383526597605,0.49219431578052536
79,80,7000,4.456808333,4,5,13.7,24.5,32.0,38.0,56.0,82.0,30.0,53.0,66.0,77.0,127.0,174.0,21.145975827899996,37.51903749049999,47.531483321999985,55.81552498699999,88.43339164299998,124.02636663599998,0.44510958963407943,0.455070296210106,0.48443001736398833,0.46835571405843773,0.4119378873825675,0.433130203655038
80,81,6500,3.5316083330000003,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,9.624992497100003,16.771537494500006,22.632166660000006,26.758599992000008,38.20111665400001,55.30167498100002,0.4071869895404042,0.4088405382753345,0.46358575731857427,0.4512720857692515,0.35763975395267544,0.3881476915569365
81,82,6300,3.670816667,3,4,5.0,8.0,12.0,14.0,18.0,25.0,13.7,24.5,32.0,38.0,56.0,82.0,10.836105002899998,19.068475005499998,25.41633334,30.099600008,43.491033345999995,63.236550019,0.4082218175195497,0.41392966288942534,0.4636031346974207,0.4520279832796298,0.36257593036875013,0.39523591714365036
