wind_speed,lower_wind_speed,upper_wind_speed,E33_power_lower,E44_power_lower,E48_power_lower,E53_power_lower,E70_power_lower,E82_power_lower,E33_power_upper,E44_power_upper,E48_power_upper,E53_power_upper,E70_power_upper,E82_power_upper,E33_power_output,E44_power_output,E48_power_output,E53_power_output,E70_power_output,E82_power_output,E33_efficiency,E44_efficiency,E48_efficiency,E53_efficiency,E70_efficiency,E82_efficiency
7.839,7,8,92,156,191,228,400,532,138,238,284,336,626,815,130.594,224.798,269.027,318.612,589.614,769.437,0.505187182,0.501082369,0.503889636,0.491329473,0.504746274,0.493818543
9.618,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,229.372,417.868,497.7,581.97,1096.558,1446.976,0.480393558,0.504293614,0.504701823,0.485891119,0.508235056,0.502786178
6.5745,6,7,55,96,120,141,240,321,92,156,191,228,400,532,76.2565,130.47,160.7895,190.9815,331.92,442.2195,0.500034271,0.492970744,0.510494475,0.499224387,0.481651105,0.481089658
6.21525,6,7,55,96,120,141,240,321,92,156,191,228,400,532,62.96425,108.915,135.28275,159.72675,274.44,366.41775,0.48868535,0.487091512,0.508379661,0.494190656,0.471366737,0.471820729
6.3555,6,7,55,96,120,141,240,321,92,156,191,228,400,532,68.1535,117.33,145.2405,171.9285,296.88,396.0105,0.494709314,0.49074804,0.51045812,0.497498054,0.476890971,0.476907171
6.92225,6,7,55,96,120,141,240,321,92,156,191,228,400,532,89.12325,151.335,185.47975,221.23575,387.56,515.59475,0.500680027,0.489887337,0.504517474,0.495457205,0.48181957,0.480554853
8.3565,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,158.677,274.363,327.1365,387.336,720.829,945.1225,0.506701069,0.504836751,0.505798225,0.493068539,0.509385204,0.500715656
11.50375,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,306.502,655.4125,710.79625,762.135,1746.1625,1945.4125,0.375168269,0.462269338,0.421258206,0.371882963,0.472991875,0.395066057
9.04375,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,198.3625,345.5125,411.5625,487.21875,906.48125,1198.9,0.499718031,0.501552952,0.50200923,0.489295283,0.505359586,0.501087577
9.45375,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,220.5025,397.1725,473.0625,554.86875,1042.19125,1376.02,0.486308958,0.504737419,0.505158579,0.487832362,0.508653937,0.503487539
8.8635,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,188.083,326.077,388.4835,460.344,855.691,1130.1775,0.503320812,0.502809057,0.50335963,0.491088112,0.506743918,0.501772933
11.37825,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,303.0884,641.6075,700.88175,757.617,1707.2575,1931.6075,0.383401663,0.467672345,0.429279241,0.382046282,0.477925213,0.40538604
10.57075,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,274.4281,542.4805,621.207,701.50425,1432.46525,1770.6685,0.43293457,0.493134513,0.474504665,0.441169604,0.500096734,0.46344284
